# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -4.37656
10000 -4.37571
15000 -4.37463
20000 -4.375
25000 -4.37455
30000 -4.37436
35000 -4.37451
40000 -4.37615
45000 -4.37469
50000 -4.37456
