# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -4.43957
10000 -4.44103
15000 -4.43924
20000 -4.44091
25000 -4.44019
30000 -4.44325
35000 -4.44566
40000 -4.44483
45000 -4.44531
50000 -4.44597
