# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
5000 5556.1 12.5239 21.6921 20.4515
10000 5554.68 12.5229 21.6902 20.4498
15000 5556.05 12.5239 21.692 20.4514
20000 5550.4 12.5197 21.6847 20.4445
25000 5550.62 12.5198 21.685 20.4448
30000 5542.93 12.514 21.675 20.4353
35000 5541.1 12.5127 21.6726 20.4331
40000 5543.18 12.5142 21.6753 20.4356
45000 5541.06 12.5126 21.6725 20.433
50000 5545.14 12.5157 21.6778 20.4381
