# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -3.366
10000 -3.37147
15000 -3.37482
20000 -3.37231
25000 -3.37397
30000 -3.37131
35000 -3.37124
40000 -3.37382
45000 -3.37568
50000 -3.37922
