# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
5000 6432.81 13.1508 22.7778 21.4751
10000 6433.48 13.1512 22.7786 21.4759
15000 6439.85 13.1556 22.7861 21.483
20000 6442.68 13.1575 22.7895 21.4861
25000 6448.41 13.1614 22.7962 21.4925
30000 6454.17 13.1653 22.803 21.4989
35000 6451.92 13.1638 22.8004 21.4964
40000 6451.83 13.1637 22.8002 21.4963
45000 6441.56 13.1567 22.7881 21.4849
50000 6442.87 13.1576 22.7897 21.4863
