# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -4.95113
10000 -4.95098
15000 -4.95082
20000 -4.95095
25000 -4.95101
30000 -4.95103
35000 -4.95089
40000 -4.95088
45000 -4.95077
50000 -4.9513
