# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -4.92681
10000 -4.92734
15000 -4.92879
20000 -4.93071
25000 -4.9341
30000 -4.93524
35000 -4.93517
40000 -4.93558
45000 -4.93601
50000 -4.93733
