# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -4.96761
10000 -4.96817
15000 -4.96824
20000 -4.968
25000 -4.97008
30000 -4.97282
35000 -4.97314
40000 -4.97328
45000 -4.97283
50000 -4.97293
