# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -4.92121
10000 -4.92607
15000 -4.92869
20000 -4.92955
25000 -4.93031
30000 -4.93074
35000 -4.93212
40000 -4.93342
45000 -4.93465
50000 -4.93631
