# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
5000 10773.9 22.0863 22.0863 22.0863
10000 10778.1 22.0893 22.0893 22.0893
15000 10781.7 22.0917 22.0917 22.0917
20000 10788.2 22.0961 22.0961 22.0961
25000 10786.7 22.0951 22.0951 22.0951
30000 10801.1 22.1049 22.1049 22.1049
35000 10795.2 22.1009 22.1009 22.1009
40000 10796.9 22.1021 22.1021 22.1021
45000 10791.3 22.0982 22.0982 22.0982
50000 10784.4 22.0935 22.0935 22.0935
