# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -4.21377
10000 -4.2146
15000 -4.21485
20000 -4.21673
25000 -4.21822
30000 -4.2187
35000 -4.21929
40000 -4.21971
45000 -4.21954
50000 -4.2208
