# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -4.21935
10000 -4.21933
15000 -4.21951
20000 -4.21904
25000 -4.2192
30000 -4.2193
35000 -4.21923
40000 -4.21935
45000 -4.21933
50000 -4.21899
