# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -4.48982
10000 -4.49183
15000 -4.49549
20000 -4.49777
25000 -4.49794
30000 -4.49919
35000 -4.50036
40000 -4.50088
45000 -4.49907
50000 -4.50054
