# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -4.49629
10000 -4.49719
15000 -4.4983
20000 -4.49711
25000 -4.50304
30000 -4.5046
35000 -4.50419
40000 -4.50488
45000 -4.50579
50000 -4.50603
