# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -4.52805
10000 -4.52814
15000 -4.52855
20000 -4.52805
25000 -4.5286
30000 -4.52859
35000 -4.52878
40000 -4.52906
45000 -4.52928
50000 -4.52886
