# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -4.81081
10000 -4.81069
15000 -4.81015
20000 -4.81074
25000 -4.81049
30000 -4.8102
35000 -4.81037
40000 -4.81019
45000 -4.81018
50000 -4.8103
