# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
5000 5219.81 12.266 21.2453 20.0303
10000 5219.64 12.2659 21.2451 20.0301
15000 5219.78 12.266 21.2453 20.0303
20000 5220.06 12.2662 21.2457 20.0306
25000 5219.71 12.2659 21.2452 20.0302
30000 5219.3 12.2656 21.2447 20.0297
35000 5214.66 12.262 21.2383 20.0237
40000 5215.02 12.2622 21.2388 20.0242
45000 5215.75 12.2628 21.2398 20.0251
50000 5215.18 12.2624 21.2391 20.0244
