# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -4.48457
10000 -4.48501
15000 -4.48464
20000 -4.48462
25000 -4.48493
30000 -4.48542
35000 -4.48712
40000 -4.4878
45000 -4.48825
50000 -4.48822
