# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
5000 5435.83 12.4329 21.5345 20.3029
10000 5431.52 12.4296 21.5287 20.2975
15000 5429.03 12.4277 21.5255 20.2944
20000 5428.25 12.4271 21.5244 20.2934
25000 5414.95 12.417 21.5068 20.2768
30000 5403.66 12.4083 21.4919 20.2627
35000 5389.82 12.3977 21.4735 20.2454
40000 5386.74 12.3954 21.4694 20.2416
45000 5381.33 12.3912 21.4623 20.2348
50000 5380.41 12.3905 21.461 20.2336
