# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
5000 5476.47 12.4638 21.588 20.3534
10000 5476.91 12.4642 21.5886 20.3539
15000 5478.21 12.4652 21.5903 20.3555
20000 5475.93 12.4634 21.5873 20.3527
25000 5474.16 12.4621 21.585 20.3505
30000 5474.92 12.4627 21.586 20.3514
35000 5462.71 12.4534 21.5699 20.3363
40000 5461.2 12.4522 21.5679 20.3344
45000 5464.14 12.4545 21.5718 20.3381
50000 5462.45 12.4532 21.5696 20.336
