# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -3.75821
10000 -3.7631
15000 -3.76692
20000 -3.76932
25000 -3.77041
30000 -3.77079
35000 -3.77074
40000 -3.7719
45000 -3.77166
50000 -3.77248
