# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -3.76982
10000 -3.77331
15000 -3.77825
20000 -3.78508
25000 -3.78508
30000 -3.78886
35000 -3.79102
40000 -3.79345
45000 -3.79419
50000 -3.79659
