# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
5000 14439.6 24.3511 24.3511 24.3511
10000 14439.4 24.351 24.351 24.351
15000 14439.6 24.3511 24.3511 24.3511
20000 14439.4 24.351 24.351 24.351
25000 14439.7 24.3511 24.3511 24.3511
30000 14440.4 24.3515 24.3515 24.3515
35000 14440.2 24.3514 24.3514 24.3514
40000 14439.6 24.3511 24.3511 24.3511
45000 14439.1 24.3508 24.3508 24.3508
50000 14439 24.3507 24.3507 24.3507
