# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -3.23889
10000 -3.24233
15000 -3.24337
20000 -3.24251
25000 -3.24271
30000 -3.24317
35000 -3.24534
40000 -3.24603
45000 -3.24485
50000 -3.24313
