# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -3.19336
10000 -3.1955
15000 -3.19325
20000 -3.19794
25000 -3.19463
30000 -3.19494
35000 -3.19403
40000 -3.19396
45000 -3.18856
50000 -3.19229
