# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -3.24438
10000 -3.2437
15000 -3.24395
20000 -3.24671
25000 -3.24811
30000 -3.24815
35000 -3.24763
40000 -3.24867
45000 -3.24807
50000 -3.24835
