# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -5.01511
10000 -5.01466
15000 -5.01486
20000 -5.01478
25000 -5.01486
30000 -5.01471
35000 -5.0149
40000 -5.0152
45000 -5.01504
50000 -5.01481
