# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -5.03792
10000 -5.03737
15000 -5.03758
20000 -5.03741
25000 -5.03762
30000 -5.03736
35000 -5.03775
40000 -5.03743
45000 -5.03744
50000 -5.03764
