# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -4.26577
10000 -4.26526
15000 -4.26596
20000 -4.26749
25000 -4.26734
30000 -4.26659
35000 -4.26693
40000 -4.26759
45000 -4.26761
50000 -4.26831
