# FCC structure - OPTIMIZED (smaller supercell)
# Composition: {'Al': 0.33, 'Fe': 0.34, 'Ni': 0.33}
# Generated for Assignment 2 - MM309 (Optimized)

864 atoms
3 atom types

0.0 22.33260000 xlo xhi
0.0 22.33260000 ylo yhi
0.0 22.33260000 zlo zhi

Masses

1 26.9815  # Al
2 55.8450  # Fe
3 58.6934  # Ni

Atoms # atomic

1 3 0.00000000 0.00000000 0.00000000
2 3 1.86105000 1.86105000 0.00000000
3 1 1.86105000 0.00000000 1.86105000
4 2 0.00000000 1.86105000 1.86105000
5 2 0.00000000 0.00000000 3.72210000
6 3 1.86105000 1.86105000 3.72210000
7 1 1.86105000 0.00000000 5.58315000
8 1 0.00000000 1.86105000 5.58315000
9 2 0.00000000 0.00000000 7.44420000
10 2 1.86105000 1.86105000 7.44420000
11 2 1.86105000 0.00000000 9.30525000
12 1 0.00000000 1.86105000 9.30525000
13 3 0.00000000 0.00000000 11.16630000
14 2 1.86105000 1.86105000 11.16630000
15 3 1.86105000 0.00000000 13.02735000
16 1 0.00000000 1.86105000 13.02735000
17 3 0.00000000 0.00000000 14.88840000
18 1 1.86105000 1.86105000 14.88840000
19 3 1.86105000 0.00000000 16.74945000
20 2 0.00000000 1.86105000 16.74945000
21 3 0.00000000 0.00000000 18.61050000
22 3 1.86105000 1.86105000 18.61050000
23 1 1.86105000 0.00000000 20.47155000
24 1 0.00000000 1.86105000 20.47155000
25 3 0.00000000 3.72210000 0.00000000
26 3 1.86105000 5.58315000 0.00000000
27 2 1.86105000 3.72210000 1.86105000
28 1 0.00000000 5.58315000 1.86105000
29 1 0.00000000 3.72210000 3.72210000
30 1 1.86105000 5.58315000 3.72210000
31 3 1.86105000 3.72210000 5.58315000
32 2 0.00000000 5.58315000 5.58315000
33 1 0.00000000 3.72210000 7.44420000
34 2 1.86105000 5.58315000 7.44420000
35 2 1.86105000 3.72210000 9.30525000
36 3 0.00000000 5.58315000 9.30525000
37 2 0.00000000 3.72210000 11.16630000
38 2 1.86105000 5.58315000 11.16630000
39 1 1.86105000 3.72210000 13.02735000
40 3 0.00000000 5.58315000 13.02735000
41 2 0.00000000 3.72210000 14.88840000
42 2 1.86105000 5.58315000 14.88840000
43 3 1.86105000 3.72210000 16.74945000
44 1 0.00000000 5.58315000 16.74945000
45 3 0.00000000 3.72210000 18.61050000
46 2 1.86105000 5.58315000 18.61050000
47 2 1.86105000 3.72210000 20.47155000
48 1 0.00000000 5.58315000 20.47155000
49 2 0.00000000 7.44420000 0.00000000
50 1 1.86105000 9.30525000 0.00000000
51 3 1.86105000 7.44420000 1.86105000
52 2 0.00000000 9.30525000 1.86105000
53 2 0.00000000 7.44420000 3.72210000
54 3 1.86105000 9.30525000 3.72210000
55 2 1.86105000 7.44420000 5.58315000
56 3 0.00000000 9.30525000 5.58315000
57 2 0.00000000 7.44420000 7.44420000
58 2 1.86105000 9.30525000 7.44420000
59 3 1.86105000 7.44420000 9.30525000
60 1 0.00000000 9.30525000 9.30525000
61 1 0.00000000 7.44420000 11.16630000
62 1 1.86105000 9.30525000 11.16630000
63 2 1.86105000 7.44420000 13.02735000
64 2 0.00000000 9.30525000 13.02735000
65 2 0.00000000 7.44420000 14.88840000
66 3 1.86105000 9.30525000 14.88840000
67 3 1.86105000 7.44420000 16.74945000
68 1 0.00000000 9.30525000 16.74945000
69 2 0.00000000 7.44420000 18.61050000
70 1 1.86105000 9.30525000 18.61050000
71 2 1.86105000 7.44420000 20.47155000
72 2 0.00000000 9.30525000 20.47155000
73 1 0.00000000 11.16630000 0.00000000
74 1 1.86105000 13.02735000 0.00000000
75 3 1.86105000 11.16630000 1.86105000
76 3 0.00000000 13.02735000 1.86105000
77 2 0.00000000 11.16630000 3.72210000
78 2 1.86105000 13.02735000 3.72210000
79 2 1.86105000 11.16630000 5.58315000
80 1 0.00000000 13.02735000 5.58315000
81 3 0.00000000 11.16630000 7.44420000
82 3 1.86105000 13.02735000 7.44420000
83 2 1.86105000 11.16630000 9.30525000
84 2 0.00000000 13.02735000 9.30525000
85 1 0.00000000 11.16630000 11.16630000
86 2 1.86105000 13.02735000 11.16630000
87 2 1.86105000 11.16630000 13.02735000
88 1 0.00000000 13.02735000 13.02735000
89 3 0.00000000 11.16630000 14.88840000
90 3 1.86105000 13.02735000 14.88840000
91 2 1.86105000 11.16630000 16.74945000
92 2 0.00000000 13.02735000 16.74945000
93 1 0.00000000 11.16630000 18.61050000
94 3 1.86105000 13.02735000 18.61050000
95 2 1.86105000 11.16630000 20.47155000
96 1 0.00000000 13.02735000 20.47155000
97 1 0.00000000 14.88840000 0.00000000
98 1 1.86105000 16.74945000 0.00000000
99 3 1.86105000 14.88840000 1.86105000
100 1 0.00000000 16.74945000 1.86105000
101 2 0.00000000 14.88840000 3.72210000
102 1 1.86105000 16.74945000 3.72210000
103 1 1.86105000 14.88840000 5.58315000
104 1 0.00000000 16.74945000 5.58315000
105 3 0.00000000 14.88840000 7.44420000
106 3 1.86105000 16.74945000 7.44420000
107 1 1.86105000 14.88840000 9.30525000
108 1 0.00000000 16.74945000 9.30525000
109 3 0.00000000 14.88840000 11.16630000
110 1 1.86105000 16.74945000 11.16630000
111 3 1.86105000 14.88840000 13.02735000
112 2 0.00000000 16.74945000 13.02735000
113 1 0.00000000 14.88840000 14.88840000
114 1 1.86105000 16.74945000 14.88840000
115 3 1.86105000 14.88840000 16.74945000
116 1 0.00000000 16.74945000 16.74945000
117 2 0.00000000 14.88840000 18.61050000
118 2 1.86105000 16.74945000 18.61050000
