# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -3.92435
10000 -3.92523
15000 -3.92481
20000 -3.92508
25000 -3.92435
30000 -3.92703
35000 -3.92837
40000 -3.92803
45000 -3.92797
50000 -3.92858
