# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -3.92943
10000 -3.92926
15000 -3.92937
20000 -3.92959
25000 -3.92978
30000 -3.92963
35000 -3.92924
40000 -3.92923
45000 -3.92949
50000 -3.93037
