# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
5000 7002.13 13.5278 23.4308 22.0907
10000 6999.91 13.5263 23.4283 22.0884
15000 6948.77 13.4933 23.3712 22.0345
20000 6954.78 13.4972 23.3779 22.0409
25000 6925.94 13.4785 23.3455 22.0104
30000 6901.75 13.4628 23.3183 21.9847
35000 6901.8 13.4629 23.3183 21.9848
40000 6853.39 13.4313 23.2637 21.9332
45000 6771.43 13.3776 23.1706 21.8455
50000 6727.37 13.3485 23.1202 21.798
