# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -3.84748
10000 -3.84728
15000 -3.84734
20000 -3.84731
25000 -3.84788
30000 -3.84795
35000 -3.84776
40000 -3.84768
45000 -3.84728
50000 -3.84746
