# Time-averaged data for fix ave_pe
# TimeStep v_pe_atom_step
5000 -3.83771
10000 -3.83839
15000 -3.83805
20000 -3.83823
25000 -3.83784
30000 -3.83741
35000 -3.83732
40000 -3.83758
45000 -3.83835
50000 -3.8377
