# Time-averaged data for fix ave_vol
# TimeStep v_vol_step v_lx_step v_ly_step v_lz_step
5000 6294.91 13.0561 22.6138 21.3205
10000 6297.31 13.0578 22.6167 21.3232
15000 6288.57 13.0517 22.6062 21.3134
20000 6241.21 13.0188 22.5493 21.2597
25000 6206.64 12.9948 22.5076 21.2204
30000 6227.48 13.0093 22.5328 21.2441
35000 6197.23 12.9882 22.4962 21.2097
40000 6185.03 12.9797 22.4815 21.1957
45000 6159.83 12.962 22.4509 21.1669
50000 6135.28 12.9448 22.421 21.1387
